customer_id,age,gender,marital_status,education,employment_type,annual_income,loan_amount,loan_term_months,interest_rate,credit_history_years,num_existing_loans,num_credit_cards,avg_monthly_balance,late_payments_last_12m,debt_to_income_ratio,default
CUST100000,56,Male,Married,High School,Self-Employed,1247109,432601,36,12.48,14.6,3,4,48365,3,0.22,1
CUST100001,69,Male,Married,Graduate,Self-Employed,360011,496874,48,20.91,3.1,1,3,67593,5,0.6,1
CUST100002,46,Male,Married,High School,Salaried,1357903,219316,12,18.3,17.1,3,1,164503,3,0.77,1
CUST100003,32,Female,Married,Post-Graduate,Salaried,192684,740785,12,16.3,10.3,5,0,168508,5,0.45,1
CUST100004,60,Male,Married,Graduate,Salaried,1385197,627132,36,9.43,2.1,0,5,149485,7,0.67,1
CUST100005,25,Male,Single,Graduate,Unemployed,1403871,183991,48,22.7,13.9,3,4,38485,3,0.9,1
CUST100006,38,Male,Married,Graduate,Salaried,895723,634985,36,18.04,10.4,0,5,199304,4,0.89,1
CUST100007,56,Female,Married,Diploma,Salaried,1067509,601484,36,11.49,6,5,1,111504,3,0.68,1
CUST100008,36,Female,Single,Diploma,Salaried,1074138,659888,24,17.9,8.5,5,1,16101,6,0.68,1
CUST100009,40,Male,Married,Graduate,Salaried,857651,644913,24,19,6,2,3,8831,0,0.26,0
CUST100010,28,Male,Married,Diploma,Self-Employed,831423,492617,48,16.65,5.3,0,0,51897,5,0.76,1
CUST100011,28,Male,Married,Diploma,Self-Employed,273466,53324,60,19.63,3.3,4,2,5004,0,0.39,1
CUST100012,41,Male,Married,Diploma,Self-Employed,354318,414768,24,17.51,7.3,3,5,45924,6,0.87,1
CUST100013,53,Female,Married,Graduate,Salaried,492778,71272,60,23.19,5,5,1,152581,6,0.12,1
CUST100014,57,Female,Married,Diploma,Self-Employed,251936,449069,12,9.33,13.7,0,4,37170,3,0.42,0
CUST100015,41,Female,Married,High School,Salaried,1077726,269264,24,10.15,13.7,1,5,43555,2,0.52,1
CUST100016,20,Female,Married,Graduate,Self-Employed,767952,708284,24,11.19,10,2,3,145734,2,0.39,1
CUST100017,39,Male,Married,Graduate,Salaried,796315,771747,48,19.2,15.6,1,3,118115,6,0.23,1
CUST100018,19,Male,Married,High School,Salaried,492818,699249,60,18.51,16.8,5,1,104216,2,0.55,1
CUST100019,41,Male,Married,High School,Self-Employed,1272109,256538,24,22.33,11.6,1,1,65930,5,0.69,1
CUST100020,61,Female,Single,High School,Unemployed,988277,598963,24,19.86,12.4,1,1,178475,1,0.6,0
CUST100021,47,Male,Married,Diploma,Salaried,1416573,535447,48,16.38,5.7,2,2,36365,4,0.25,1
CUST100022,55,Female,Married,Diploma,Self-Employed,1238166,93591,48,23.87,17.9,2,1,62188,3,0.67,1
CUST100023,19,Female,Single,Graduate,Salaried,448615,483406,60,12.62,0.5,2,5,98633,1,0.27,1
CUST100024,38,Male,Married,Graduate,Salaried,601530,173706,12,21.41,7,2,5,157745,2,0.2,1
CUST100025,50,Male,Single,Graduate,Salaried,1474018,314507,12,15.12,14.4,1,0,63471,3,0.64,1
CUST100026,29,Male,Single,Diploma,Salaried,1413512,214824,36,18.56,1.6,4,4,148228,1,0.77,1
CUST100027,39,Female,Married,Graduate,Salaried,529925,359148,24,19.77,3.7,4,1,57287,0,0.46,1
CUST100028,61,Male,Single,Diploma,Salaried,1178302,773818,60,18.32,11.8,2,5,132717,2,0.5,1
CUST100029,42,Female,Married,Post-Graduate,Salaried,311896,133627,24,10.68,11.2,3,5,59076,7,0.31,1
CUST100030,66,Male,Married,Graduate,Unemployed,1209118,758276,60,15.37,14.8,0,5,116475,1,0.47,0
CUST100031,44,Female,Married,High School,Salaried,533461,309014,60,17.2,16.3,5,2,50151,7,0.16,1
CUST100032,59,Female,Single,Graduate,Self-Employed,1203329,57394,60,21.66,2.6,3,4,67384,5,0.86,1
CUST100033,45,Male,Single,Diploma,Salaried,986220,99795,24,15.38,0.4,5,3,99865,0,0.73,1
CUST100034,33,Female,Married,Graduate,Self-Employed,403460,362553,48,22.74,13.8,3,5,33541,2,0.62,1
CUST100035,32,Female,Divorced,High School,Salaried,353979,62137,24,15.33,6,3,1,72847,4,0.51,1
CUST100036,64,Male,Married,High School,Salaried,728986,413369,60,17.01,12.5,4,5,50955,6,0.72,1
CUST100037,68,Female,Single,Post-Graduate,Salaried,398104,158925,36,20.84,3,0,4,140362,2,0.47,1
CUST100038,61,Male,Married,High School,Salaried,1199367,556667,12,17.54,9.4,3,3,190014,7,0.3,1
CUST100039,69,Female,Married,Graduate,Salaried,1145270,141169,60,23.38,10.1,2,2,161215,5,0.19,1
CUST100040,20,Male,Married,Diploma,Self-Employed,407360,189439,36,18.74,11.7,5,0,155581,4,0.6,1
CUST100041,54,Male,Single,Graduate,Self-Employed,1495147,169172,48,16.6,10.3,4,1,87780,4,0.84,1
CUST100042,68,Female,Married,Graduate,Self-Employed,717578,670370,60,8.87,9.9,5,0,167813,4,0.18,1
CUST100043,24,Female,Married,Graduate,Self-Employed,691302,395233,36,14.91,6.7,2,2,157970,3,0.2,1
CUST100044,38,Female,Divorced,Diploma,Salaried,255150,555337,60,13.14,1.4,2,4,99919,3,0.42,1
CUST100045,26,Female,Single,High School,Salaried,1115893,414002,24,20.1,1.8,3,4,112854,7,0.74,1
CUST100046,56,Female,Married,High School,Salaried,1219095,483120,36,11.73,8.7,2,2,194020,6,0.3,1
CUST100047,35,Male,Divorced,Diploma,Salaried,693340,706059,24,11.68,7.1,0,5,61768,4,0.27,1
CUST100048,21,Female,Single,Graduate,Salaried,1182965,188112,24,11.44,10.3,2,2,43262,6,0.58,1
CUST100049,42,Male,Divorced,Post-Graduate,Salaried,478105,793815,36,10.45,6.1,3,1,136578,0,0.51,1
CUST100050,31,Male,Married,Post-Graduate,Salaried,1000147,244062,12,13.32,13.8,5,3,20605,4,0.1,1
CUST100051,67,Female,Single,Graduate,Salaried,957165,77986,36,22.23,17.3,2,0,78590,1,0.12,0
CUST100052,26,Male,Single,Graduate,Self-Employed,992318,451978,12,20.51,6,4,0,28231,4,0.6,1
CUST100053,43,Male,Married,Graduate,Self-Employed,1326329,698960,60,19.9,3.9,4,4,79397,7,0.45,1
